Gloss	Proto-Austroasiatic
all	*klɔʔ
all	*tum
ashes	*bɔh, *buːh
bark	*-pɔːk
belly	*buŋ
middle	*kluŋ
belly	*wiəŋ
bird	*ciːm, *ceːm
to bite	*kap
to bite	*kat
to bleed	*saːm
to bleed	*ɟhaːm, *(b/m)haːm
bone	*cʔaːŋ
breast	*toːh
to ignite	*coːh
to ignite	*tɔːt, *tuːt
to burn	*guːc
fingernail	*-rsiːm
cloud	*rməl
cloud(y)	*ʔuːt
cold	*tkat
cold	*ŋi(ə)t
to arrive	*truh
to die	*kceːt
dog	*cɔːʔ
to drink	*ʔuək
to suck, drink	*hoːc
dry	*raɲ
ear	*-toːr
earth	*tiʔ
to eat	*caːʔ
egg	*p(n)ləːŋ
egg	*-tap
egg	*ktam
eye	*mat
fat, oil	*pri(ə)ŋ
fat, oil	*klaɲ
fire	*ʔuːs, *ʔɔːs
fish	*kaʔ
to fly	*par
to fly	*həːr
foot, leg	*ɟəːŋ
full	*biːŋ; *beːɲ
to give	*ʔam
to give	*ʔa(ː)n
to give	*ʔVːj
good	*ləʔ, *lʔɔʔ
young, green	*kciʔ
green	*-ŋaːr
hair	*suk, *sɔːk
hand, arm	*tiːʔ
to hear	*ktəŋ
to hear	*rməŋ
to hear	*saŋ
heart	*(p)nɔːs
horn	*draŋ
horn	*krəŋ
I	*ʔaɲ
to die	*krceːt
knee	*-kuːl
to know	*naŋ
leaf	*slaʔ
liver	*kləːm
liver	*ris
high, long	*ɟroŋ, *ɟrɔŋ
long	*ɟləːŋ, *ɟliːŋ
louse	*ciːʔ
much, many	*gləŋ
flesh	*sac
moon	*khaj
hill, mountain	*bruːʔ
hill	*bnəm
hill	*du(ə)l
mountain	*-mɔl
mouth, opening	*paːŋ
mouth	*mɔːɲ
nose, beak	*smuər
name	*-məh
neck	*kɔʔ
nape	*-kɔːŋ
throat	*-lɔːŋ
new	*tmiːʔ
night	*cəːm
night	*-tam
nose	*mɔːh, *muːh, *muːs
used up, lacking	*ʔət
not	*ʔam
one	*diʔ
one	*muəj, *moːj
person	*ʔiːʔ
person	*mraʔ
rain	*gmaʔ
sky, rain	*briːʔ
red	*-saw
road, way	*kraʔ
road, way	*ɗeːŋ, *ɗiəŋ
road, way	*truːŋ,*trɔːŋ
road, way	*glɔːŋ
root	*riəs
round	*wi(ə)l
sand	*ksa(ː)c
to see	*jɔl
to sit down	*ŋgu(ː)j
to sit, stay	*-kuːʔ
skin	*huːr
to lie down, sleep	*tiək
to lie down, sleep	*ɓic
small	*dit, *kɗi(ə)t
smoke (n.)	*ptoʔ
to speak	*ŋaːj
to stand up	*dək
to stand	*ɟə(ː)ŋ, *ɟuːŋ
to stand	*taːw
star	*s(ʔ)maɲ
stone	*tmɔʔ
sun, day	*tŋiːʔ
to swim, wade	*loːj
tail	*sntaʔ
stalk, tail	*-dɔːŋ
that (dist.)	*tiːʔ
that (med.)	*tɔʔ
3rd person	*gi(ː)ʔ
this (prox.)	*niʔ; *neʔ
this; here	*nɔ(ː)ʔ
you (sing.)	*miːʔ
tongue	*lntaːk
tooth	*lmVɲ
tooth	*sraŋ
tooth	*p(i)əŋ
tree, wood	*ɟhuːʔ, *ɟhiːʔ
trunk, stem, tree	*tnəːm
two	*ɓaːr
hot	*toʔ
hot	*taɲ
warm	*(s)ʔ(a/ə)m
water	*ɗaːk
we (incl.)	*ʔiːʔ
we (excl.)	*ʔjeːʔ
what	*məh
white	*ɓɔːk
white	*-lɔːk
who	*mVh
woman, female	*kan
wife	*k(-)duər
yellow	*-ŋaːr
