No.	Gloss	Proto-Pnar-Khasi-Lyngngam
1.	accusative marker	*ja
2.	if	*lada
3.	oblique marker	*na
4.	toward (allative)	*ʧa
5.	to warn, defend	*da:
6.	through, across	*lŋbaː
7.	eight	*pʰraː
8.	dark	*sɲaː
9.	to play	*kaːj
10.	nine	*kʰndaːj
11.	sugarcane	*paːj
12.	to turn	*pʰa:j
13.	to go work	*ʤaːm
14.	to ask for	*paːn
15.	to pull	*ta:n
16.	mosquito	*-kaːɲ
17.	to fall	*ha:p
18.	spleen	*kʰlaːp
19.	to drop (tr.)	*pnha:p
20.	slope	*ranaːp
21.	to cover	*ta:p
22.	to come	*laːr
23.	liquor	*kjaːt
24.	equal	*rŋkaːt
25.	to dance	*ʧaːt
26.	forest	*kʰlaːw
27.	to bite (by animal)	*dac
28.	banana	*kac
29.	chaff, husk	*stac
30.	quick, healthy	*ʧac
31.	to vomit	*praj
32.	handful	*kʰam
33.	to grow	*san
34.	hungry	*tʰŋan
35.	to cut	*daɲ
36.	cloth	*ʤaɲ
37.	to break	*kʰaɲ
38.	focus marker (?)	*kʰnaŋ
39.	fern	*trkʰaŋ
40.	to hear	*sŋap
41.	to pick up, gather	*kʰar
42.	foot, leg	*kʤat
43.	big	*baʔ
44.	to disappear	*ʤaʔ
45.	to send	*pʰaʔ
46.	winnowing basket	*praʔ
47.	to enter	*saɁ
48.	flea	*tʰnlaʔ
49.	to cut	*ʔaʔ
50.	ripe	*Ɂɔc
51.	hill	*dɔm
52.	rough	*ɲɔm
53.	waist	*-dɔŋ
54.	agentive nomimalizer	*nɔŋ
55.	to sit	*ʧɔŋ
56.	price, value	*dɔr
57.	short	*kɔt
58.	below, within	*həpɔɁ
59.	to peel	*kʰɔʔ
60.	to surprise	*lŋɔʔ
61.	wet, viscous	*ʧbɔʔ
62.	mother	*beː
63.	to work	*tre:
64.	foolish	*be:c
65.	table	*meːc
66.	bamboo	*səːc
67.	behind	*-deːn
68.	to count, reckon	*kʰeːɲ
69.	mouth/word	*ktəːɲ
70.	deer sambhur	*sə:r
71.	to look upward	*kʰmeːt
72.	to call, cry out	*keːʔ
73.	bow	*rnteːʔ
74.	to float, drift	*kəj
75.	to open	*pləj
76.	up(stream)	*təj
77.	to suffer	*beɲ
78.	after	*mǝn
79.	sky	*bneŋ
80.	middle, center	*pdǝŋ
81.	seven	*hnɲəw
82.	skinny	*kʰrəw
83.	to count	*ɲəw
84.	night	*snɲəw/aː
85.	to abandon	*ʔeʔ
86.	axe	*sdɛː
87.	to overflow	*ʧlɛː
88.	tree	*dɛːŋ
89.	to surround, go around	*kɛːr
90.	different	*pʰɛ:r
91.	to seize	*kɛm
92.	to squeeze	*kʰɛm
93.	flesh	*mɛm
94.	moist, wet	*sŋɛm
95.	yellow	*stɛm
96.	to meet	*ʧɛm
97.	without	*kʰlɛm
98.	shoulder	*trpɛŋ
99.	rotten	*ʤlɛp
100.	hearth	*-pɛp
101.	wind	*lɁɛr
102.	body	*mɛt
103.	corpse	*mɛt
104.	navel	*-pɛt
105.	to cook	*ʧɛt
106.	to wash (hands)	*tʰɛt
107.	to leak	*pɛʔ
108.	to run	*marɛ(ː)ʔ
109.	small	*kʰian
110.	clever	*sian
111.	sweet	*tʰiaŋ
112.	eel	*triaŋ
113.	to fold, wrap	*kʰnliap
114.	to descend	*hiar
115.	to bark	*wiar
116.	to wipe	*ɲiat
117.	nauseated	*sgiaw
118.	to whistle	*siaw
119.	to hear	*sɲiaw
120.	smooth	*pliaʔ
121.	mat	*ʧnliaʔ
122.	nine	*ham-ʧʔiː
123.	to roll up	*kliː
124.	to ask	*krliː
125.	to curse	*tim
126.	to take	*ʧim
127.	fire	*dɨɲ
128.	to burn	*ʔɨɲ
129.	handle of tool	*ʧpiŋ
130.	nominalizer	*ʤɨŋ
131.	to know	*tip
132.	warm	*ʧit
133.	to squeeze	*ksiʔ
134.	bad	*siɁ
135.	ripe, cooked	*ʔiʔ
136.	to rise	*miʔ
137.	to draw/cut into	*ro:c
138.	to tie, bind	*kʰoːm
139.	hill	*loːm
140.	to spear	*soːm
141.	roof	*tnoːm
142.	to follow	*boːt
143.	to imitate	*pnboːt
144.	to keep, put	*bo:ʔ
145.	to fall down	*ʔor
146.	skill	*buc
147.	dust	*pum-pum
148.	nest	*skum
149.	limestone	*ʧun
150.	finished, spent	*lut
151.	person (cl.)	*ŋut
152.	to blow (person, wind)	*slu:
153.	flower	*sntuː
154.	to flow	*tuːc
