No.	English gloss	Eastern dialect (Andimul)	North-western dialect (Baniyatar)	Mid-western dialect (Purlung and Kaphalawanra)	Southern dialect (Pipaltar)
1	I	ŋɑ	ŋɑ	ŋɑ	ŋɑ
2	you	nɑŋ	nɑŋ	nɑŋ	nɑŋ
3	we	ŋi	ni	ŋi	ni
4	this	i	i	ilai	i
5	that	dyo	dyo	dyo	dou
6	who	su	su	su	su
7	what	do	do	do	do
8	not	nɑla	nɑla	nɑl	nɑl
9	all	sakta	sakta	jammo	niŋ
10	many	nɑto	dʰer	dʰerai	dʰerai
11	one	ɑjyo	ɑjyo	ɑjyo	ɑcyo
12	two	nisjyo	nisjyo	nʰjyo	nisjyo
13	big	brɑuto	brɑuto	brɑuto	yɑuto
14	long	yɑuto	yɑuto	tolto	yɑuto
15	small	maito	maito	maito	maito
16	woman	ɑmɑlam/mumco	mumco	momco	ɑmɑlam
17	man	ɑpɑlam/goyco	goyco	goyco	ɑpɑlam
18	person	mancʰe	mancʰe	mancʰe	mancʰe
19	fish	ŋhɑ	ŋɑ	ŋʰɑ	ŋɑ
20	bird	wɑ	wɑ	wɑ	wɑ
21	dog	kuy	kui	kui	kuy
22	louse	sek	sek	sek	sek
23	tree	siŋ	siŋ	siŋ	siŋ
24	seed	biyɑ	biyɑ	biyɑ	biyɑ
25	leaf	mat	mat	jelo	mat
26	root	jara	jara	jara	jara
27	bark	pun	pun	pun	bokrɑ
28	skeen	pun	pun	pun	pun
29	flesh	syɑ	syɑ	syɑ	syɑ
30	blood	woy	woy	woi	woy
31	bone	rhus	rus	rhus	rhus
32	grease	cʰau	cʰau	cʰo	cʰɑu
33	egg	um	um	um	um
34	horn	roŋ	roŋ	roŋ	roŋ
35	tail	me	me	me	me
36	feather	kʰer	kʰer	myɑn	kʰer
37	hair	myɑn	myɑn	pu	pu
38	head	pukʰ	puk	pu	pu
39	ear	no	no	no	no
40	eye	muik	muik	muit	mik
41	nose	nhe	ne	nʰe	ne
42	mouth	kɑm	kɑm	kɑm	kɑm
43	tooth	sɑik/sayet	sɑik	sɑik	sɑyet
44	tongue	lhe	le	le	le
45	claw	son	son	son	son
46	foot	dom	dom	dom	dom
47	knee	tɑku	tɑku	gʰundɑ	gʰundɑ
48	hand	krut	krut	krut	krut
49	belly	yoŋ	yoŋ	yoŋ	yoŋ
50	neck	kaik	kaik	kait	kait
51	breasts	dut	cʰɑti	dut	dut
52	heart	luŋ	luŋ	lhuŋ	luŋ
53	liver	sin	sin	kalejo	kalejo
54	drink	tuŋmay	tuŋmay	tuŋmɑy	tuŋmɑy
55	eat	jemay	jemay	jemɑy	jemɑy
56	bite	jaikmay	jaikmay	jaymɑy	jaymɑy
57	see	kanmay	kanmay	kanmay	kanmɑy
58	hear	sɑymay	sɑymay	sɑimɑy	sɑimɑy
59	know	cimay	cimay	cimɑy	cimɑy
60	sleep	emmay	emmay	yemmɑy	yemmɑy
61	die	simay	simay	simɑy	simɑy
62	kill	sɑtmay	sɑtmay	sɑtmɑy	sɑtmɑy
63	swim	blɑ	blɑ	lɑmmɑy	lɑmmɑy
64	fly	yummay	yummay	yuŋmɑy	yuŋmɑy
65	walk	cʰomay	cʰomay	cʰomɑy	cʰomɑy
66	come	wɑŋmay	wɑŋmay	wɑŋmay	wɑŋmɑy
67	lie	lɑmmay	lɑmmay	lɑmmɑy	lɑmmɑy
68	sit	cyuŋmay	cyuŋmay	cyuŋmɑy	cyuŋmɑy
69	stand	ciŋmay	ciŋmay	ciŋmɑy	ciŋmɑy
70	give	baymay	baymay	boymɑy	boymɑy
71	say	tomay	tomay	rhɑmɑy	tomɑy
72	sun	nyɑm	nyɑm	nyɑm	nyɑm
73	moon	lɑhɑu	lɑhɑu	lhɑu	lɑhɑu
74	star	tɑrɑ	tɑrɑ	tɑrɑ	tɑrɑ
75	water	ti	ti	ti	ti
76	rain	nyɑmti	nyɑmti	nyɑmti	nyɑmti
77	stone	bɑŋ	bɑŋ	bɑŋ	bɑŋ
78	sand	baluwɑ	baluwɑ	baluwɑ	baluwɑ
79	earth	sɑ	sɑ	sɑ	sɑ
80	cloud	mus	mus	mus	mus
81	smoke	mheku	mheku	meku	meku
82	fire	mhe	mhe	me	me
83	ash	tʰɑpu	tʰɑpu	tʰɑpu	tʰɑpu
84	burn	lyuŋ	lyuŋ	luŋ	luŋ
85	road	lyɑm	lyɑm	lyɑm	lɑm
86	mountain	bʰir	bʰir	pahɑr	pahɑr
87	red	duo	duo	duto	duto
88	green	hariyo	hariyo	hariyo	hariyo
89	yellow	yɑrto	yɑrto	yɑrto	pahelo
90	white	pʰɑmo/pʰɑmto	pʰɑmo/pʰɑmto	pʰɑmto	pʰɑmto
91	black	gɑlto	gɑlto	gɑlto	gɑlo
92	night	yɑkʰdiŋ	yɑkdiŋ	rɑt	rɑt
93	hot	tʰɑo	tʰɑo	tʰɑto	tʰɑto
94	cold	nikto/jhiznto	nikto/jhiznto	jhiznto	jsimo
95	full	bliŋto	bliŋto	bliŋto	bʰari
96	new	nay	nay	nayɑ	nayɑ
97	good	peto/gyɑnto	peto/gyɑnto	dyɑnto	dyɑno
98	round	golo	golo	golo	golo
99	dried	soto	soto	soto	soto
100	name	mayaŋ	mayaŋ	mayiŋ	mɑyaŋ
